Model,MDO3104
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,1e+06,,
Gating,70.96500% to 75.0600%,,
Probe Attenuation,10,10,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,5,5,5
Vertical Position,1.18,0,-1.06
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.196020e-02,5.3,0.4,-0.1
4.196040e-02,4.9,0,-0.1
4.196060e-02,5.3,0,0.1
4.196080e-02,5.3,0,-0.1
4.196100e-02,5.3,0.2,0.1
4.196120e-02,5.3,0,0.1
4.196140e-02,5.1,0.2,0.1
4.196160e-02,5.1,0.2,0.1
4.196180e-02,5.1,0.4,0.1
4.196200e-02,4.9,0.2,0.1
4.196220e-02,5.3,0.2,-0.1
4.196240e-02,5.1,0,0.1
4.196260e-02,5.1,0,0.1
4.196280e-02,5.3,0,0.1
4.196300e-02,4.9,0.2,-0.1
4.196320e-02,5.1,0.2,0.1
4.196340e-02,4.9,0.2,0.1
4.196360e-02,5.1,0.2,-0.1
4.196380e-02,5.3,0.2,0.1
4.196400e-02,5.1,0.2,0.1
4.196420e-02,5.3,0.2,0.1
4.196440e-02,5.3,0,0.1
4.196460e-02,5.1,0.2,0.1
4.196480e-02,5.1,0.2,0.1
4.196500e-02,5.1,0,0.1
4.196520e-02,5.3,0.2,0.1
4.196540e-02,4.9,0,0.1
4.196560e-02,4.9,0.2,0.1
4.196580e-02,5.1,0.6,0.1
4.196600e-02,5.3,0.2,0.1
4.196620e-02,5.1,0.2,0.1
4.196640e-02,5.1,0.2,0.1
4.196660e-02,4.9,0.2,0.1
4.196680e-02,5.1,0.2,0.1
4.196700e-02,4.9,0.4,-0.1
4.196720e-02,5.1,0.2,0.1
4.196740e-02,5.1,0.2,0.1
4.196760e-02,5.1,0.2,0.1
4.196780e-02,4.9,0,0.3
4.196800e-02,5.1,0,0.1
4.196820e-02,5.3,0.2,0.3
4.196840e-02,5.3,0.4,0.1
4.196860e-02,4.9,0,0.1
4.196880e-02,4.9,0,-0.1
4.196900e-02,5.3,0,0.1
4.196920e-02,5.3,0,0.1
4.196940e-02,4.9,0,0.1
4.196960e-02,5.3,0.4,0.3
4.196980e-02,5.1,0.4,0.3
4.197000e-02,5.1,0.4,0.1
4.197020e-02,5.3,0.2,0.1
4.197040e-02,5.3,0.2,0.1
4.197060e-02,5.1,0.4,0.1
4.197080e-02,5.1,0.2,0.1
4.197100e-02,5.1,0,0.1
4.197120e-02,4.9,0,0.3
4.197140e-02,4.9,0.2,0.1
4.197160e-02,5.5,0,0.3
4.197180e-02,5.3,0,0.1
4.197200e-02,5.1,0,0.1
4.197220e-02,4.9,0.2,0.1
4.197240e-02,5.1,0.2,0.1
4.197260e-02,5.1,0.4,0.1
4.197280e-02,5.1,0,0.3
4.197300e-02,5.1,0.2,0.1
4.197320e-02,5.1,0,0.3
4.197340e-02,5.3,0.4,0.1
4.197360e-02,4.9,0.4,0.1
4.197380e-02,5.1,0,0.1
4.197400e-02,5.5,0,0.1
4.197420e-02,5.3,0.2,0.1
4.197440e-02,5.1,0.2,0.1
4.197460e-02,4.9,0.2,0.1
4.197480e-02,5.1,0,0.1
4.197500e-02,5.3,0.2,0.1
4.197520e-02,5.3,0,0.1
4.197540e-02,5.1,0.2,-0.1
4.197560e-02,5.1,0.2,0.1
4.197580e-02,5.1,0,0.1
4.197600e-02,5.1,0.2,-0.1
4.197620e-02,5.1,0.2,0.1
4.197640e-02,5.1,0,0.1
4.197660e-02,5.1,0.2,-0.1
4.197680e-02,5.3,0.2,0.1
4.197700e-02,5.1,0.4,0.1
4.197720e-02,4.9,0,0.3
4.197740e-02,4.9,0.2,0.1
4.197760e-02,4.9,0.2,0.1
4.197780e-02,5.3,0.2,0.1
4.197800e-02,5.3,0,0.1
4.197820e-02,5.1,0.2,0.1
4.197840e-02,5.1,0.2,0.3
4.197860e-02,5.5,0,0.3
4.197880e-02,5.3,0.2,0.1
4.197900e-02,5.3,0,0.1
4.197920e-02,4.9,0.2,0.1
4.197940e-02,5.1,0.2,0.1
4.197960e-02,5.1,0,0.1
4.197980e-02,5.3,0,0.3
4.198000e-02,5.3,0.2,-0.1
4.198020e-02,5.1,0,0.1
4.198040e-02,5.3,0,0.1
4.198060e-02,5.1,0.2,0.3
4.198080e-02,5.3,0.2,0.1
4.198100e-02,5.1,0.2,-0.1
4.198120e-02,5.1,0,-0.1
4.198140e-02,4.9,0,0.1
4.198160e-02,5.1,0.2,0.1
4.198180e-02,5.1,0.4,0.1
4.198200e-02,5.1,0,-0.3
4.198220e-02,5.1,0.2,0.1
4.198240e-02,5.1,0.2,0.1
4.198260e-02,5.3,0,0.1
4.198280e-02,5.1,0.2,-0.1
4.198300e-02,5.1,0,0.1
4.198320e-02,4.9,0.2,0.1
4.198340e-02,5.1,0.2,-0.1
4.198360e-02,5.3,0.2,-0.1
4.198380e-02,5.3,0,0.1
4.198400e-02,5.3,0,0.1
4.198420e-02,5.3,0,0.1
4.198440e-02,5.3,0,0.1
4.198460e-02,5.1,0,0.3
4.198480e-02,5.1,0,0.1
4.198500e-02,4.9,0,0.1
4.198520e-02,5.5,0.2,0.1
4.198540e-02,5.1,0,-0.1
4.198560e-02,5.1,0,0.1
4.198580e-02,5.1,0.2,-0.1
4.198600e-02,5.3,0.2,-0.1
4.198620e-02,5.1,0.2,0.1
4.198640e-02,5.1,0,-0.3
4.198660e-02,5.1,0.2,-0.1
4.198680e-02,5.1,0.2,0.3
4.198700e-02,5.1,0,0.1
4.198720e-02,5.3,0.2,0.3
4.198740e-02,5.3,0,0.3
4.198760e-02,5.1,0.2,0.3
4.198780e-02,4.9,0,0.1
4.198800e-02,5.1,0.2,0.3
4.198820e-02,5.3,0.2,0.3
4.198840e-02,5.1,0,0.3
4.198860e-02,5.1,0.2,-0.1
4.198880e-02,5.1,0.2,0.1
4.198900e-02,5.1,0,-0.1
4.198920e-02,4.9,0.2,-0.1
4.198940e-02,5.3,0.4,-0.1
4.198960e-02,4.9,0.2,-0.1
4.198980e-02,4.9,0,0.1
4.199000e-02,5.1,0.2,-0.1
4.199020e-02,5.5,0,0.3
4.199040e-02,4.9,0.2,-0.1
4.199060e-02,5.1,0,0.1
4.199080e-02,5.1,0.2,-0.1
4.199100e-02,5.1,0.2,0.1
4.199120e-02,5.3,0,-0.3
4.199140e-02,5.1,0,-0.1
4.199160e-02,5.3,0.2,0.1
4.199180e-02,5.1,0,0.1
4.199200e-02,5.1,0.2,0.1
4.199220e-02,5.3,0,0.1
4.199240e-02,4.9,0.2,0.1
4.199260e-02,5.1,0.2,-0.1
4.199280e-02,5.1,0.4,-0.1
4.199300e-02,5.1,0.2,0.1
4.199320e-02,5.1,0.2,-0.1
4.199340e-02,4.9,0.2,0.1
4.199360e-02,4.9,0,0.1
4.199380e-02,5.3,0.2,0.1
4.199400e-02,5.1,0.4,-0.1
4.199420e-02,5.1,0,0.1
4.199440e-02,5.3,0,0.3
4.199460e-02,5.3,0,0.3
4.199480e-02,5.1,0.2,0.1
4.199500e-02,5.1,0,0.1
4.199520e-02,4.9,0.2,0.1
4.199540e-02,5.1,0.4,0.3
4.199560e-02,5.1,0,0.1
4.199580e-02,5.3,0,0.3
4.199600e-02,4.9,0,0.3
4.199620e-02,5.3,0,0.1
4.199640e-02,4.7,0.2,0.1
4.199660e-02,5.1,0.2,0.1
4.199680e-02,5.1,0.2,-0.1
4.199700e-02,5.3,0,0.1
4.199720e-02,5.1,0.2,-0.1
4.199740e-02,5.1,0.2,0.1
4.199760e-02,5.1,0.4,0.1
4.199780e-02,5.1,0.2,0.1
